Punto de Ingreso	Número de Análisis	NUMERO_ANALISIS	Fecha de Análisis	Número de Boletín	Campo	Lote	Descripcion	Especie	Cosecha	Descripción	Contenido Proteico	Grado	Factor	Gastos de Análisis	Gluten	Punto de Ingreso	Número de Análisis	Rubro de Análisis	Porcentaje	Bonificación	Rebaja	Descripción
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100			1	105755	26				Granos con Carbón
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100			1	105755	29				Granos Danados
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100			1	105755	34				Granos Manchados
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100			1	105755	40				Granos Picados
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100			1	105755	45				Quebrados y/o Pelados
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100			1	105755	52	1,2			Materias Extranas
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100			1	105755	58				Olores Comercialmente Objetables
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100			1	105755	61				Peso Hectolítrico
1	105756	0001 00105756	11/12/2015	1626	1074		ESTANCIA RIO PARANA	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100			1	105756	26				Granos con Carbón
1	105756	0001 00105756	11/12/2015	1626	1074		ESTANCIA RIO PARANA	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100			1	105756	29				Granos Danados
1	105756	0001 00105756	11/12/2015	1626	1074		ESTANCIA RIO PARANA	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100			1	105756	34				Granos Manchados
1	105756	0001 00105756	11/12/2015	1626	1074		ESTANCIA RIO PARANA	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100			1	105756	40				Granos Picados
1	105756	0001 00105756	11/12/2015	1626	1074		ESTANCIA RIO PARANA	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100			1	105756	45				Quebrados y/o Pelados
1	105756	0001 00105756	11/12/2015	1626	1074		ESTANCIA RIO PARANA	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100			1	105756	52	1,2			Materias Extranas
1	105756	0001 00105756	11/12/2015	1626	1074		ESTANCIA RIO PARANA	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100			1	105756	58				Olores Comercialmente Objetables
1	105756	0001 00105756	11/12/2015	1626	1074		ESTANCIA RIO PARANA	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100			1	105756	61				Peso Hectolítrico
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	3				Brotados
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	4				Calcinados
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	21				Gluten Humedo
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	24				Granos Ardidos y Danados por Calor
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	26				Granos con Carbón
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	29	0,14			Granos Danados
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	37	2,78			Granos Panza Blanca
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	40				Granos Picados
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	42	1,08			Granos Quebrados y/o Chuzos
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	52	0,07			Materias Extranas
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	58				Olores Comercialmente Objetables
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	60				Otro Tipo
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	61	83,5			Peso Hectolítrico
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	65	8,9		5,4	Proteína
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	66				Punta Negra por Carbón
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	67				Punta Sombreada por Tierra
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	70				Revolcado en Tierra
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	74	0,14			Total Danados
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	75				Trébol de Olor
1	105945	0001 00105945	21/12/2015	1648	1279		LESZCZYNSKI	TRIG	1516	TRIGO COSECHA 15/16		2	94,6	119		1	105945	84				Aptitud Panadera
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	3				Brotados
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	4				Calcinados
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	21				Gluten Humedo
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	24				Granos Ardidos y Danados por Calor
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	26				Granos con Carbón
1	106014	0001 00106014	28/12/2015	1831	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16	11	2	100			1	106014	29				Granos Danados
