ANA_PUNTO_INGRESO	ANA_NUMERO_ANALISIS	NUMERO_ANALISIS	ANA_FECHA_ANALISIS	ANA_NUMERO_BOLETIN	ANA_CAMPO	ANA_LOTE	CAM_DESCRIPCION	ANA_ESPECIE	ANA_COSECHA	ECO_DESCRIPCION	ANA_CONTENIDO_PROTEICO	ANA_GRADO	ANA_FACTOR	ANA_IMPORTE_GASTOS	ANA_GLUTEN	ATI_PUNTO_INGRESO	ATI_NUMERO_ANALISIS	ATI_PUNTO_INGRESO_TICKET	ATI_NUMERO_TICKET	ATI_CERTIFICADO	NUMERO_TICKET	TIP_FECHA	TIP_KILOS_NETOS
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100,0000			1	105755	21	16628	Sí	0021 0000016628	11/12/2015 12:00:00 AM	30480
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100,0000			1	105755	21	16630	Sí	0021 0000016630	11/12/2015 12:00:00 AM	29440
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100,0000			1	105755	21	16632	Sí	0021 0000016632	11/12/2015 12:00:00 AM	30160
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100,0000			1	105755	21	16634	Sí	0021 0000016634	11/12/2015 12:00:00 AM	31080
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100,0000			1	105755	21	16636	Sí	0021 0000016636	11/12/2015 12:00:00 AM	29020
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100,0000			1	105755	21	16638	Sí	0021 0000016638	11/12/2015 12:00:00 AM	30920
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100,0000			1	105755	21	16640	Sí	0021 0000016640	11/12/2015 12:00:00 AM	29060
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100,0000			1	105755	21	16642	Sí	0021 0000016642	11/12/2015 12:00:00 AM	29140
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100,0000			1	105755	21	16644	Sí	0021 0000016644	11/12/2015 12:00:00 AM	30400
1	105755	0001 00105755	12/12/2015	1646	1203		PARANA GUAZU	CEBA	1516	CEBADA FORRAJERA COSECHA 15/16		2	100,0000			1	105755	21	16646	Sí	0021 0000016646	12/12/2015 12:00:00 AM	29480
